MainOP,Option,Measure1,Measure2
Xocn1M4B0vEm7t,"xlKj2,FtUsgALl,WfX3pa,LpnMHfo,HW3a733HG0,C0WNTNSLPQ,fOkQg7kf8J,IJm6KUl8,Y82eecEDi",0.1538,-0.401
BH3tlsZQjrMT1W,"TTFPTUn7y,sh98dv,iAEPT2royY,ub68jVN,d5d9M",0.36397,-0.323
ZwADsYjzlKGEoMzHPFPb,"A8p1nuT6q,D37EWbH,25EVprNhiR,6DJwz395Y,J1yzw8u,StZSLONnpO,ISCobcbwPw,tNURIzg,bROMwL3",0.82706,-0.373
plx6ry8jkxf36tohsM,"DzIcoi5m,xRxMaof,jzVP7AOWG,md44v,LgMgcWclf0",0.57078,-0.495
XxujlAO2F,"yseGY59F6,OJl39tWvu,wBs1IXqaeh",0.21239,0.261
jAA3eiVz2fDsU8LC9,"ScenWX,jQgAA0i,u3uBdx4kt,G1tq9,s9a8bl,ZGpdxddE9d,3tyGa5Exk0,n5NzCzu5",0.81495,0.781
A3c0Vk7BL,"7rCFO7wo,ZSYkApS,TrEZr,RgEAjFLu",0.94678,-0.336
7CQ7ZFc7bjZd,"suLho,qLHIbXnUz,bgP9pdj7,sZl2xeQiTJ,r2M1VvPCh,zBNBFOE7cZ,T5yIkbMo,vx5qar5g2p,joOkzxn",0.97175,-0.881
z7vdXIdpCZeB,d6QzXMps,0.55283,0.483
AD4HHXKyqSPZIxfRt,"7FZ7xigi,yZzNeUQhB,CEgOb2q2,YRXXwEjvd5,eyxkrxJl,rSEHacW,KEsya",0.64237,0.561
4lPPyZxFX3ro5RIx,"g87DkymAS,4m0v2tV7,acm48,POxc9UITPq",0.86488,0.848
eEbPoHcfLRqa,"c9Ow1AfXLY,iWBij,MA4TLyl43,iKfhGisn9,hGfgCO,fMpSCNkW,1sJFpgQHeC,Emg5ysko,iAgJ5a7e",0.07481,0.338
Wf1QP5L7qVeQ8j9zSxE,"u3sFcd,AfEJP,JtjlN6AlC,V39uR6mw8M",0.69761,0.966
IptHGpg1KQUmWFa2li,"98HdCz0mDR,EGRGzcsUa,gsjyUz4,KFG06yuh,M2tYrPBi7,I3yxt0y,1RNY0PE,KBmOdYVAcM",0.24424,0.043
TPO7wZtziT5c6Yl1ONDH,"GXBiHkdZt,wfPulSt,KjTg9ln,XgdxoGT,NYnt0Fp",0.86856,0.205
SpqI2S,"NUH1JiW,gleKv8S",0.39553,-0.833
n3ZMQJVPNe3K,"6XESeu,WKOgC",0.86638,0.691
giVUlsvIEr0DSgMrOGAW,"EybZTOh2,zMIw0jSd,LFbf6",0.59179,0.488
nId1t11h,"6Y7Oa4AnXy,7lTjHxHFiv,61YZn,PRjwMsA5,rQHinm",0.97453,-0.074
PnhdmIMLVJKt,"lWeJtnck,fZM7v9,i2EgjU7QHD,WljvqMZHE9",0.24167,0.827
qfcnBqNcxK2K,"jvm8fVdVG,hF2plRJ,7B7vq7MRA",0.73027,-0.077
jIeUFUL,"chF6v,D8gz0,txfL3,1JabDD8Y,QofBle9Bz,RE5EwQ,4EEb7m,XU3SVQrnE,zCyzY",0.25454,0.856
5DpEIlkBzmw8CCOC,"FvVaO,PhvOMLoVKz,GzEQq,iJVkl,4PJxeVw,Qj6PgaT7dX,VripYP",0.04537,0.315
jb0WctYSkfY6wooTp,"DVW4i0A,8b9Qa",0.18367,0.9
pIRibzzXBSL9,"9SRMVw2w,TK4aG2rq,HLixCpc,HEEdKf,mDBQxTcA,XRD2tGs,4o5OxInRK,bnIwCYMDz",0.64848,-0.411
Zb1JrbFL,"xX3do,rdioaP259,FtT39,QBgeb,qMoE6,MGeKPcDlO,pa4NB9m4ix",0.70076,0.197
xO97Qp1VpdqKr5B,khgyIPa,0.34872,-0.234
66eWhDTyuhtO5DS9,"K3dXYP,20Gr96iQ,NvPJKo,4iBEFuxaHr,nYzMiJRg7",0.3683,0.874
1HIYJ5gUZjm,"SwStQ9sNjV,EXRQCKSx1,rDY9L",0.79396,-0.552
S3X86k4y,"cxY7i3Xq,W0wEPX70j,2Il8q4",0.87805,-0.214
utK99uVAaeLqYFac,"JdrjU85pEI,KMTV3IPeHZ,QhJYk7il4,nqH9D2iX,y6WsqeaeNq,eglhQ2ciVQ,e7JZhS",0.60174,0.732
rIXYKloTaclhxkc,"ZHFko7OPXy,HqRFiGPc,M6ZP2,ZXve6pAbOZ,CwR1F",0.91055,0.904
VA839GplqUZl5swDHuKD,"oB2Zgum8,boAEiFD,y2LZI7,7ZI2Ae,ERImjPdUAs,AJ1aJZk",0.31361,-0.83
5ZhguYb1s0qRUWh,"8MmdThuI,uzvNjYja,BTiHbCdCH",0.94364,-0.234
5yxz0N4vGLDaAH9d3tFg,"wOOUpQXM,t08Vyf1Hi5,sqkua,AhyPiRqP",0.21095,0.633
nFLNJscsVuoVK,"5WqeaRMFK,vuY2z5V,80XcOL,KdELxEmb7,cRwOP3Vi8k,diKIjhD5t,XZpVih,N2oZ8j,9AAoni",0.34393,0.486
kGq0BeR,"Mkwapk6S,U3gB2pKsB8,cT769NIQ,rqLleBsF84,QpQExBQL",0.46491,0.781
1keAmzQ0,"zqOsoA,E5N2ux,YIHA1DhE06,uIKYIg1Sbj,ZRl4fdVt",0.8319,-0.22
ZvXx4UlnaIFw1f0jDI,"dU539fnPf,sE0lrbqNmZ,gpuvTR,knfbKPdNZM,VzDfXNxXlS,EC00P,pZjUUNkr,FYzGGcUJta,bAOw5oHTNK,S6bWz",0.02919,-0.879
p53MEV256,"O10uXOG,NjQVTeS6gH,Z9U705ZHO,aeH4dMRKv",0.47601,-0.204
gVgo3wiPN,"jY0CRwyW7,QWMU9R",0.61557,0.042
pc9eraWMB,"CUJXrOEI,Lyu5T32Ph6,2Wi6cwkuEn,43LVOg18",0.20608,0.909
0uhKiG4bmrcTEEBDBhQ,"rJEShPi,JEq8QkMLz",0.68683,0.516
Wx4CkTImVS0i3Tt,"MwbYrrpyW,Bf1d1z,mUz2na,TMJQj,LOxE5w4Z,6bQskE4E,VPaUUKFwN,Jlsv0my6C,byAlEAFo",0.37414,0.675
3MP9N8XEDTNwJtgaFDHU,"mFlbQMWra,Xhst1Xf1,e0lxoVX9b7,oMBPAHH,6x8uK,SZuEfWpbmP,7gd1X05,eHgjdrxxM",0.19131,0.064
fIJc5ykZ3EmbQXBZPi5,"uK7PTiVG7,v1a9q",0.10928,-0.584
S0ktJCTsF5EivPRmO1fg,"Fr7q8ow4m,smX46FM",0.1401,0.312
ZZrXYunfd8XNWyJG,"Evqg1uTU7l,xYl6mZe7g,IBcY0F7Ar,yLRYQ,l1QbpX,iL74I",0.91461,0.255
PRTNjPfC6LaWZzoQLws,"39KV2,4UDffK3u,ER4yMNN,Y1UIz7z0h,4mzGDVwecu,932FqCwEcG,uy21brD",0.60318,0.774
cAlHlQPJ16JZ8Z7Wi8h,"AkcgFy,FNjzft,1gj2ss7fz,YCqbadN,NXmdYyHbIz,upL32KcfX,a8HJ61H,3a4y7n0Vik,I54c6tto",0.63132,0.683
wfonPUQWYOl,"nse19kutwY,rSXAd4Y",0.26521,0.353
iUMjU312ue3TbGIX,"KTh1ih,2oijMq1WNU,r0KbU,tnbujDUFn,GJYF7V,egTy4g1He,pVd38,EvnEAB",0.92519,-0.184
ctCE0GE,uZg0hk9Cfd,0.38031,0.453
X4OUISgHVmch71,"kh7UMtMth,wn638Da,GZTWTO3tHV,xjHbkz8,GVuxCgzMf",0.37837,-0.528
YR50ukfYl,"F8UUJZvM,WBmXO2k8aZ,yNZwkEUO",0.51572,-0.72
5Rq83CBWeg3X6m,"TzaMrc,CzZ6v0,D3MRfuili,FlzQr6Rl6R,h3kIXEZDO",0.9157,-0.039
WrrCu4nRcamY,"vX4yRudG,TMYSjHbH,Hc7iGQUD,6ZHhpJj,krzbqR4sY,65FrZrkYR,cwZeeyptz,JIil8l8g,Ifmo5dNnev",0.71005,0.031
BbV8a3ZUO2wOi7ZEia,"VnTYCPP6iU,9HuTw75SZT,RPNLjzb6",0.56055,0.938
TNa1Ozp,"sPxUA,hbBmBB,3alBHDg2,1viJoW2Y,4BE1EfK,syHEMP4f,tGjJL,kgd2RwKTO,eEaLPn",0.08905,-0.948
booVfp1WKog4G,"ZpUNevp,VcTfMTBv,YFf07,xSO70,iCd5j4t193,JF1ZnbWY,Bou9KqUjJz,731IyT7fc,KIF6sA,dJ3OBB",0.92396,-0.58
pt4mNua,"ows2fet,kAMr3B,sVHrl0ln,igfdF,ZI20b",0.42431,-0.868
xjBiOqRKB3stWk2FT1,"lw6zs,MIWnzirgG4,jUIeoV,IMVHJl,borIv",0.57399,0.697
zAtPduW0,"pQbTid,MdHV2TU,8btuQfE,gGn4YCy,UvIUKhIkny,Bvji5mgDM",0.83101,-0.488
uBwYucgg6VD,"nHxdjEPk,S7yacTOQ,zIy2LF,EAbQmDAYV0,XRpNUXUVay,0UkCUcu2",0.21781,-0.321
uS1kyB93F7gu2fjObyXF,"KcjLJRe35i,eOq7S,IU0DrLhw",0.74266,-0.568
lbYDIOS3W0Qa7,"gA9Tn,NLFwkAz,8IQqSGwuy,0TM5L,wZM1I0",0.60716,0.087
vlUzuklBS0RK9KBlYRh,Ybeb3tVyTF,0.99502,0.858
6iv5za5qdGfzzWi9nI,"BmEbwb6gvG,x1Pq3MU,W6ePe,IxkPMq2wOA,HQLiWx0,rJN8Z,LWivz2",0.39851,0.185
nAZrmazkSy,xQNB6Zc6,0.65776,0.712
KGkgjQWq1opMOO,"SEe4P7nPm,oqEHk4Hf,fn1kLvydN,2ZWrTAAm",0.78208,0.727
HnvyJh1,"3KZrAeMrTc,nHwNGOv,wF9aecU,WnOsCDY",0.82274,-0.326
lS6T8JInkJxae7KCDN5,"2zjJ0,Qq0cE,1oKb6JX,YG9ic9a",0.96174,0.977
gIkfD3QzIDvxuqoAV6M,"pTSvagfqIM,nVeIEcvTm,SW8SPY,zdLb0fdav,5d4ayw2UrV,i2wfJ,PPGTFEC",0.29232,0.148
lSop4FFINpbQVimI5x,"gVZ3NkZDt9,fAe8JJAzq",0.82928,0.659
QFOP5wWpLFPOuwaAvS,"2lw8o05p,CFIZ3xluYh",0.44065,0.435
qnC5iI9oTXIDzLN6aTW,"GZ4Um,Ph8KCD,iBAi9dDZ,ttlLv,ksUh2l7",0.35875,-0.188
1suIPQDd,"gQYWk836lu,MZSBu2,jLOxkjEc,O1ZewK,5MloyuXQ,Icr9QmF,zHkHOz,yav5jwjv",0.33403,0.501
hJU2Ium0MdYSPkORm,"rxCbGaJJ4O,tj9VAxLkJ",0.50328,0.343
Gxfx3OzL,"fmebX,ntdzb",0.68852,0.318
6Ns9KG68oZth3y,"fZ8Cjr09eP,JhXej,UZklHdVdgz,KSvmxfjI",0.13776,-0.475
eQJdf8YZ8iHAVguj1pXy,"MwzZfb7Ek0,WJosK,JA5sZI60,oriFUsoL32,pDKRk,3iOvR",0.27793,-0.19
HrQ3IiO7DOYZC,"KeFs3qa,SB3yUHf,X3uiUaLK,bqyKZVJm",0.38055,0.997
yR3INp,"MbdmnJkqmv,q0xOl3HIFL,O6pO993biD,2TeLBl5Lh,gavuwppl,r79dFO",0.13799,-0.161
T28v2nsAceUcf,"rYvQLzF,d134QRu,lCRRG5N0OO,Ec4gzd,siTi5Og2",0.25811,-0.083
LwAIoAzlVaZwEP9g,"W4oGfRFa,550i50R,2mA03,FH1Zz,Gr8WTS6KkJ,4qhvCwZ,V927TB3Ep,btcf7",0.31589,-0.387
HKvKbgAYo1USYm6x17Ak,2RSxDP,0.86338,0.311
HAwZ0j4aFUHI5Egdk,"mNZV9,4JiF9sl,wbd0sV8w,4G4Fnvx,ZNzQQ,E5jC6ab,tBHCAIPq,xZDyzd",0.78282,0.669
0cTSjcxbXW2j,xqY3kSxb,0.90353,-0.159
wHeUev,"VRAHXJff,dZpkwdc,b81moF,YfzEljyM,qMGohhU4N,4voKYMz",0.87405,-0.075
kKmce5yHOzgI,"TbstZ1oH,fx9pIA,jKPEY,pwOwO3wv7d,PutsyE,tQJdS4nt0",0.50159,-0.227
MucMiVlS1CnybcV,"KUtYUqZqBC,dFEXRAU,P24I6ar,9WQiZxJWN,SiDjvia2mj,ZS9jEkhb",0.37595,0.097
JSQ6jI2yO7JkU2HOu,"RL17s2sir,q1dXU,4jolgpcjY,GjxRag,DsLTLJG,WY2Ks,shR9s,phmhy9vR,Bkh5PK",0.98983,-0.57
k2LQCKKLQBAJe7,"y4Z3C4,ZExn43G",0.77589,0.649
SiWLHyYKI6SskScI,"2hu5CcKl,C6MNt5,txCpZ6,UaLNo,cPyZUqr,FAOC0a,BejBA5,pWu80LDjW,DJVsuk,akXNGQ",0.73272,-0.616
LqJIZWazyYAH7j,"iP1yWrfY,FSszYHa3,j7IAV,PV5DgDmoO,ac06SNrvt,flS7essJq,F1a8fx,84uwbD3zQ2,fmci609sB",0.06506,-0.574
2fVy0TGM,"PDh4yCinc,ONdy9HJ,rZDTuYqpv,Rhuj3hwJ",0.18582,-0.123
P8ll7exi9,"skjcU3xCd,cvcGfs,r4OJFPh,AKrNwBc9,gJKlBEM1,622SJrqovc",0.98189,-0.034
Ex5Jw9W3n9pOXL5,"8UhzvV9,YyAL7y,Muz5gEopKf,eU5xiiXV,Wedapgb,cKtv5Ca3Hd,rSTUkZi",0.5081,0.255
xezYY9yP,"cLdsi,KoPx0,Rvv1lRysKg,9JdqXyGw,efJx81,zPegzK2O,acWQjvH",0.6695,0.656
pdgmkFhQF1qt,"pqm4ThDu,I21UyH",0.94973,0.578
s2l1jP0pViY2Nkb6w4,"MGcmIJaUV,0S3YuCU,DRWPZox,IOhCS,A4H4Ift,XbbVPnQ8n,FU6MTlFey,B809xEeQ,b2K64Ea6u",0.49203,-0.83
IHSfBR5zfeIjdw9NZzz,"VvNdv,KJn9Cc,oKQFLR,8IZnTc3x,WF9zcS3g,pAoBU7,gkoWUMPo1L,Hsp9X5U,A9LWTvNRjN",0.46853,-0.526
NxpTWpi,kPmmDUjI,0.27048,0.181
f0hDio5TKneu,"9s8LjuHbV,SRj6lyJ61,8SncYCQK",0.16885,-0.031
wHKlk1igNxC,"B2ZMnrzGL7,tIU7Y,zD9sJQ,T6TMUGnZJH,39AaO,fjS67Kwo,RoAFETyc",0.48096,-0.015
r8QMDCIBGBZOT,"Jx1Ceqh,1yJqYP60,Bqsp4",0.66591,0.343
j3AC0EajZiN,"bCRQF,WI4eNhJ,aqaitQ,ackcL8,w5AXG,lcLbkpov",0.79008,-0.7
M4yFGp,"ldJpDosNM,qeU8xb,V4TFWwB,340dM,4O0JcSrq",0.71061,-0.529
xTTfpCfLw,"Jski56rTK,U4hXmp,rF511xY,wZ9xJp,4Gsn87UuGO",0.02745,-0.836
l49GsE6WIZKH,"QvRZQ0xs,Sg8tEMsi,qlVol,zf65x2WCX,boZ0elcsk1,ukpwWs,tEni2MU",0.55303,-0.169
MXoP5P7MmDF6onF,"WsV3j,Zn257a,p2b1Tz,Nmzzsz,7T3VOMBYN,HSrSSilnE,mfIKWRyzI",0.02563,-0.987
2xOXj5uuZtCQLrPsK,"prDzQWpVu,GZdaZ,11Gl2qX,3S3hE,0u83rhBa",0.90019,0.59
0qoT5O307e0aU0b2chZV,"57oen7a4,dAYZOPlkG,lEsyLAix,n0L9X",0.6457,0.428
uRtVxf,"uF4z6,Q7Qbm,FhBrMJ396",0.96345,0.737
0CbZXAliksnsu,"Lk6c8Kv,Z7ZokE,8mm9WAiJ,wqoWqCQ,v08DVr",0.19739,0.709
pFWvDBMEd,"QBc7ks6Uvf,W9vtc,70wqg2IE,PVAg6Ocjf,qcmVGwFFTL,kHtTaYnYx,XtQiYF,G6Ack,gVwaz86,5dGFwe6",0.21706,0.46
kdmbv42iL3YF7q,"ThSHolZ6MK,fD9Gh8y",0.21904,0.019
u5iuczb4VCQfumH,"eAErKVJcAr,BvYMmJ31Q",0.90125,-0.669
AqWWVRIFpQP6Ok9Ud,"5CLpKt,ib7LYW0,z5Gem0P45,R5WmcfyY,18DKX7pkq",0.57701,-0.306
5TT825KlZi,XkeT1t,0.12924,0.681
DIAJPO9HuJpzg66,"DQMVufj9,ZOaNT,xg5EnG,jQPFkmO",0.3914,0.091
jdcWoU7uuv,"eTqAXyi,3U40tV,fNDyT",0.11502,-0.351
dK1GWMQx6eK6Y7,"dCQcm,BpNK2G,k7xlv7",0.42038,-0.964
dTC8plVsQRqMUFC,"4g6hQkSO,FBBDLSV,LflKAYIirg",0.55061,-0.737
j3LlDPjyd,"qYYcw5D8Nn,vcDXZrq,QkULXj0fn,uniELkdO,qN7tatK,YpXrr13nc,J5HSgbQoKU,fHH4zwSWc,Ebiuhhx8x",0.3363,-0.525
wgXJNLgulFlel,"f3oZAEm,3CCbpg8qz,d7PlOXsM3u,WDh5FdXDP",0.23169,-0.106
pmFkvBMDSvb9,"FlQ6XW9,nuSlo9boIm,Kdeqfypk,ed3U9",0.52088,-0.351
sT7Y479lX4A30liYQ,"nM1cQcdy,g5goxH,ngfeS,fuiVatEg,P9ubAOl,zFOw4Eo,2DartC,MIx6A8",0.76669,-0.572
EpG6pgguEU8Qv8Fe,"Nx24GJtpu,83T7Nkg9B,CvaIvJOrX,3cQxnCv,JcDnb7,XFPVxgT,fs9aCTSz4M",0.58506,-0.485
PBkuZZbgVSSLjH,"ljVwaJ,BXyYSo,0ZdLO0c,FpPLdC,OXIxJ0HOT,a4gKBW5Sd",0.32887,-0.869
som3cYrSZm41tDL0cSts,"RhL55o,XaY7QP8",0.68655,-0.697
O4P8bZG7,"y5Ghl,wZEq1ke0C,4GtOI,VMWGK9,dD5NRQS1w,2Ck2Sya,gUUPniz8,cqMF8mFTB",0.44821,0.194
7wXak2Y5p8GAjScus,"TyB6Di,pwJJP,qRbSLheWqp,EMGUsj9X,4lFev,Ze3hFu,t4BVRoMPbm,ysTz2a,EQzgdGm",0.59049,-0.637
KFulKU4AjnIWrv,"wp5LEntDP,aw3M5,J0WbZeYC2,OSBrLRaLZ",0.33504,0.891
rMIDcuox,"sCLd8V,BTn3rs,WK2OZb,hu5tMU,cob7Jd,amA7CvJaA,x5AcCAodzq,pOrzjnPt,rUOeozD",0.90651,-0.255
jpLAOc,"wkhAmDEr,HxonprS9Bj,Uo3bV,Eei4vxgOE",0.84368,0.854
9lYslZ0Q3Yw6ENfhJ,"DgSKIy,HBctm,k20o1e",0.32244,-0.354
GWDVg5Qno2,"4yB0QVLBUP,9BnpYm9g,T9MirhNi3,RegLn",0.30738,-0.058
A4zeDB9liSKAWtx,"No6JxNx34,8zkpca9ed",0.98288,0.612
TV2VcOpQDDfw7,"7NjqL0U,7MKnBuh4a,dSh9h8VZx,cI7dJ7bXHU,ITZ8JfZfE4,uYrc11FoPj,FVC6e,JcV4CVUrMv",0.30168,0.322
FRQSzHuCtOEViG2Ex3Gx,"NEO4ZgN8kD,1jz7YqSa,6uW1i7ZW,DyHV5cjB,uccTOMiP,j6jGys6,13T2cZd,Qtq5qF,NsnCkOHu",0.46193,-0.853
QfA2blrKya2felb8ePUi,"bD2hx,25GNm1uzj,PXgqyX,bHoStlD,7E10LIlcxF",0.81064,0.148
0gDeVBmAjJkgd,"24Rj72obp9,HavCo,L69g8um,kY1qUn,K52IXw,Beqws",0.73342,0.042
gonx1HwSmmeb18xKX,"Fi0x6B,ghxaOcBLI,oQ9miR",0.43852,-0.38
DM3GJLZ,"oY8ehtns0,C4cJwXz,dQmFhrzO,ZwEMl0BoiS,hHetieU,uDJA6d,jaCQO",0.92759,0.707
YPhwAzYAEHcANjV,"DXVKVUax3,Y6SCAKK,zqRiTgGB,We2HU,9zGp5W",0.55266,-0.064
4uf6anIPI2D,"97T54ym,XCLu9H,y3VIO,yqxfric9I,hxVIEP,HkQWwBy,5Fk89X",0.06191,0.107
obtM9mJ3n0,"AQ05DO,aXSioXXJd,QCrAg,RHmTho,WUcNzKF1I,IfBA24uV,enYhSA,hAZoI,IDryFrz,gsS3v",0.71739,0.315
VGSDk60Pp,"CWHttV1,xeGrBA8r,pl75pS85E3,lr8zfytR,3mXaUa0x,2ek8kc",0.11834,0.935
ExhNMvhLnSC,"1OyXVXG2,hSNmCd,VKkxq",0.72127,0.058
IaUuwty16z,"vhGEns,RwfwWfK,lcXzfaA,uGnKeUA,NTycpr,l1VwtT,yx1OQHZUg2,PcLDKPw",0.88791,-0.194
9wNupVA1Xq,"beeQhfB5VN,wFEFKfNFRP,P6mLjB18,LWrN61,hk7O3dk,5dfpMzld53,zDhB5es,RVh6p,EqleY",0.79221,0.656
r6veVCmk,"zBCuoyg,DCkY7j,GaSETUj8Dc",0.67726,-0.164
nI0hpYkzWWad,"t6DXU,151aa,9EKGuO0b,xqXoO8n06L,ms7Rn4l,eGZfrzQ,4GHLJlkEX8,EoVgAc,rpIUzXPGFO,0c3Gj8",0.70194,-0.131
qraZUe6bj0F,"GJHYmsHCr,DSYcNyfv7,8bIdgM,FT0q5xIoe1,Xrs1eB7dv,zBQjzGof,wAmaGoVOGi,kBfIt1y,Eg5i9x5T8,s6Fb7Poc",0.64646,0.773
ilpOPhfQ,"Qs6cUdVcPP,EIHWZesLnN,IgB3hhRsK9,bd9NNyT,PN572dPV,9awuB,2JEIVDTByJ,eq55PxZ9,KpxY76pP",0.36822,0.507
GSAiY55MCPrI,"etTWa1,pjoPzCqsUV",0.34557,-0.451
O6t3gGxXPBp0n,"rzdkTp21cY,eVX2h,RNsh1p,4t7T0RrY,TjfNu",0.65128,-0.762
IsJ8UzEl,"wDPuOw,fPA9nTKpC,ba9GR,dJB15u,TK4BWQpCM,XYNa6M14I",0.78625,-0.363
ZIqG2S,"mwAPh,bHESS,8I9Xys53,VMoyiAu,rulzZest8Q,IfRHApBD,QxXBKq7aS,JSWpH3,eZM9aasOj",0.52384,-0.235
An9gnfM7kP8aRv,"qbKW7Kd,dNGyb3d2v,aWY5JA,G5buS1a,A84mEvrVed",0.89069,0.296
yrc85mvzxpE2F,"In3J7PfavP,4iCpR7xHXM",0.8381,-0.156
VyRQmQAk,"q3Z3WRFdY,LT5xhXuMIo,oDHgNe,iq1VEHz,YttLFGw,w7Nfo6",0.33944,-0.888
tfKccBIEgbgyp,"zakwDcKaM,X4hoWpGb3,AoSkzVF,b9VAL79bY,YQULifT,Sgw41o,DNvjKRa3Q,uKSUnt,jDrX8mjm6O,jvh1b6F",0.01131,0.121
PDNiYm0Qm,"Mv4Hkgj,74ZSalZXq",0.04395,-0.878
aCKIWLZF65,"dSkVF6SLmX,VF9LCHY,IqwovYzg,wkRk6f,sEAFW7UQtb,AX0khT",0.20909,0.816
OQ7tPF3IqNZ,"XxbCy,yhJrGOa7H,VSHynJ,ZvcQx,zG0gmuTYg,jTZn4Y,6dHfN3uS0n",0.57838,0.465
EqhQcU,"WbWY6bw97,xUv46JltKY",0.60126,-0.684
qfQLuJuH1Adgn8Qs,"NnfxkgT,m8L0U1,b7kmdP3GNt,75qqwd,o4BzE,TQ4wUe",0.08295,-0.281
WEZu5QepNFxbbnu0t,"37952BtX,JGrIFAPoN,B3uPoRfu,Wg9qW0i,lK5Q5pa,Lo5FOD,yhPaktKUI,WBikpVj",0.86588,-0.419
yJx7Y7bRBTzB4hI,"WvzoBy,w1KTBUu,zTUbqm5Ux,ZTIyX7X,WzrqcWA9Vf,8VkuV2WeJ,fk6PF,Hogh9q",0.8179,-0.415
rdt3nRjvz,"DpZXr3,iwdFZOZb0w,pOBnrS4kd,eMf4xG9X76,0PDQHR,Sdwixv,v4L4VRj",0.90981,-0.357
q9yN2QjcmeCrFmZR,"imXg9hkbry,oz1owy,WZSTJZTc4f",0.83288,-0.821
L7DkZXVoMzYoDU1M5aA6,"4uC7S,B8YHbCq,AZ1mU,yxx95FUxSB,fNNBSry,bif4rPUrq,qmG5c94XYv,e1NAn,C8oUtE,j9DQmHG0V",0.66357,0.119
KtUFbEdRAMlvRnZUAFQ,"cyOCiWGSTb,OBTt2Hua,iRGRqPUh4,N6q6uHRwi,SWAclv,cpOkHTj,R56YN6a,X4mPh1U,HT0SF,etdaJXh7",0.19751,0.336
XuZFrakdwMZvb8cesAE,"YUQR5xhx,kV5qL,7gICms,lkBLqGU0xj,QBLcnDRp,M3k8SB",0.15175,-0.103
GQiIsMVkA2AwuyEwDmF,"xUiZJHCBMo,L7qv8ZTqwi,MDyO1nvj",0.41579,0.521
hEnMlPfaCqASJ,"hOIR3bVj,JVCIf,a0BGIU,42dBFBb,dFvsQuDmu,MtCHbn,jHXXZUEt,1Q7doO,CgakS",0.43665,0.55
NQcDdhN9bIe7p6Fz0cQ,"oIIemR,OBJPVItYeV,Ozjc8,m5XIUkoGBF",0.87135,0.863
IKBLQxZMF463oI,"6MYxE,HAzbP,LgSr1ur,HGrBAussgh,51iLs37,uGFeEcVz9h,Uz5iVHjOrS,J2AjreiE",0.47918,0.775
hBZIp5J,"wJPuxOh,KOnD0ry,XENnkuHQ,guk0meKc3,SOahq,JnMQt,FWaCjfeW,609x8oM",0.16982,-0.231
cLhm80oLTNB5r,"7pdlFf,cqHACHb,pfHDe,kCLQ4Mm,mfo0sx,vzcnWn2aU",0.52963,0.409
03qw1f5Vm2,"cxdJL,Wam4d,rM3pN,D2iPCWG2Od,scQSA6CD",0.1647,0.956
aHas57b,"iOAKLVn7HL,ctSjYE,lMpRsYyX,50A2bo2A,O89Dbn,5ZEoL3gL,1z8F2L1,tELPjIEl,YuZl9x",0.75677,0.015
IqDWXg1PXy0js,"fQcPG16,WcebeDbp1,SwP3Dvg",0.32587,-0.656
d8jxbXAQKart7ZB7et6,"IBhyb4Lq,FcsKHI,p2ET7J,vQBPJ1sw,XChx7,PmSDXBn,HMMNr,z0BDSlio",0.06298,0.788
Lckq3Beop9A0Pa,"jWthe,UYEoH,og8Htbo,K2PhZ,F4EVqi85h,H2LeQ6nL,pSN327",0.54222,-0.479
eFCH89gFE7YB,k2EzZOjOBw,0.76291,-0.913
z8ju728AG9dy0n6LyRZ,LVVpCcGFn1,0.61617,-0.744
EDY7W1Dyyjfr,"SE3jkHPbm,2FRA0nP,CXoWK1Lx,A5TF9QD9,wT2eNBZPNZ,Wqdky,SwxPQmeKC,Hfl1r",0.23739,0.527
R7lRu5vYkwc,"LFTApZP,30Xbr5VGT,0uFDj5cz,NTkpuR,t1wqyRlYE,L03aq",0.219,-0.209
PNmDnBrQE9Y1L,"ZCbwhYy,oQGSJyO2,KG486ox,QhfvsJsp,JrMZTFSqEI",0.09036,0.744
65bHKHPYleSeyRX,"0AMP9,RKF7W2o,NVa9rS,8tiRv,7Flrwe,yEjNpv,exCsQTO8wA,eehO8m",0.41502,-0.182
aF6JqZzPax068T,"eAIOS6je,mrQxJdeJK,gN0zq,fMQOunmu,tJsIH",0.81675,0.29
RfhF4oqZksh52fezOE6,"lTtHQYPu6,P0sR5,72R5BGhLA3,zdqI7C,9gMhguiug,9NZwkL6Y,R7rlGM,7JbUb,fQ4PHNHw2",0.53935,-0.292
atITneIx7u0LcC,"abknCd0,22c0RKSn",0.01216,-0.165
NFPcERjvtymDzN,"zGzJhQK6n,FmvAicbQ,X8Sl65V,YeQ7B5awp",0.68461,0.559
3oTPsFl,wLo1T,0.04904,0.112
m8EkW1scgNBWBJo3Ee,"au806sFL,mKTCQkMf35,dUcUJkP,FeSl78k,KsiLH,9o6im,EuwrHyiztf,LZeYEm0,lbtvttAX",0.69285,-0.137
9NzuJn4z,"eXgkN,5XuzPDmqa,jdCYTlVc,Q8peFVq0sx,nLHJQugEW4,vR7GVt,SRgMSQjeCY,x29bQQ,2EDwk",0.83185,-0.551
4nbPKtxkcb2QALUWS,"CWIby,eIVZ0k,fGTnnXd,m6cuIuxv59,A1gVCm,RXfQYK",0.98434,-0.147
